"53","Caitanya Manjusa","CMNJ"
"54","Cauragraganya Purusastakam","CAUP"
"55","Chandogya Upanishad","CHUP"
"56","Dana Keli Cintamani","DKC"
"57","Dasa Mula Tattva","DMT"
"58","Gadadharastakam","GDAST"
"59","Gandharva Samprarthanastakam","GSAST"
"60","Garga Samhita","GASM"
"61","Garuda Purana","GRDP"
"62","Gaura Ganoddesadipika","GGDP"
"63","Gauranga Balite Habe","GBH"
"64","Gautamiya Tantra","GTAN"
"65","Gita Mala","GTML"
"66","Gitavali","GTAV"
"67","Gopala Sahasra Nama","GSNAM"
"68","Gopinatha","GOPIN"
"69","Govardhana Vasa Prarthana","GVPR"
"70","Guru Carana Padma","GCPAD"
"71","Gurudeva Krpa Bindu Diya","GKBD"
"72","Gurvastakam","GVAST"
"73","Hamsaduta","HAMS"
"74","Hari Bhakti Sudhodaya","HBSU"
"75","Hitopadesa","HITO"
"76","Isopanishad","ISOP"
"77","Jagannatha Vallabha Nataka","JVNAT"
"78","Jaladakhyana Samhita","JALS"
"79","Je Anila Prema Dhana","JAPD"
"80","Jiva Jago","JIVJ"
"81","Kali Kukkura Kadana","KKKAD"
"82","Kali Santarana Upanishad","KSUP"
"83","Katha Upanishad","KATHU"
"84","Katyayana Samhita","KATS"
"85","Krama Dipika","KRMD"
"86","Krishna Karnamrita","KKAM"
"87","Krishna Nama Dhare Kata Bala","KNDB"
"88","Krishna Sandarbha","KSAN"
"89","Krishna Virahe","KRVIR"
"90","Krpa Kara Vaishnava Thakura","KKVT"
"91","Kunja Bihari Astakam","KBAST"
"92","Laghu Bhagavatamrita","LBAG"
"93","Lalita Madhava","LMAD"
"94","Mahabharata","MAHB"
"95","Mahajana Racita Gita","MRGIT"
"96","Mukta Carita","MUKC"
"97","Mukunda Mala Stotra","MMST"
"98","Mukunda Muktavali","MUKM"
"99","Mundaka Upanishad","MUND"
"100","Nama Sankirtana","NMSK"
"101","Namastaka","NAST"
"102","Narada Pancaratra","NPAN"
"103","Naradiya Purana","NPUR"
"104","Navadvipa Dhama Mahatmya","NDM"
"105","Navadvipa Sataka","NSAT"
"106","Nikunja Rahasya Stava","NRS"
"107","Nityananda Nistha Prarthana","NNP"
"108","Nityanandastakam","NITAS"
"109","Padma Purana","PADP"
"110","Padyavali","PADY"
"111","Pancaratra Pradipa","PANP"
"112","Paramatma Sandarbha","PASAN"
"113","Paurnamasi Devi Pranama","PDPRA"
"114","Prameya Ratnavali","PRAMR"
"115","Prema Bhakti Chandrika","PBCH"
"116","Prema Vivarta","PVIV"
"117","Radha Bhajana Mahima","RBHM"
"118","Radha Kripa Kataksha Stava Raja","RKKS"
"119","Radha Krishna Vijnapti","RKVJ"
"120","Radha Prarthana","RADP"
"121","Radhika Carana Padma","RCPAD"
"122","Radhikastakam","RAST"
"123","Rig Veda","RGVED"
"124","Rupa Manjari Pada","RMPAD"
"125","Sad Anga Saranagati","SASAR"
"126","Sammohana Tantra","SAMT"
"127","Sanat Kumara Samhita","SKSAM"
"128","Sandilya Bhakti Sutra","SBSUT"
"129","Saranagati","SARAN"
"130","Sata Nama Stotra","SNST"
"131","Skanda Purana","SKP"
"132","Sri Radha Nistha","SRNIS"
"133","Stava Kalpadruma","STVK"
"134","Stava Mala","STVM"
"135","Stavavali","STAV"
"136","Stotra Ratna","STRAT"
"137","Sva Sankalpa Prakasa Stotra","SSPS"
